subject,W.ML,W.mean,W.median,W.MAP,W.sd,W.lower,W.upper,Wlog.mean,Wlog.sd,MAP.BIC
33,0.0025390625,0.000114338293991,1.72558365151e-05,9.47809986234e-23,0.000156077494186,2.18311012895e-07,0.000384221984458,-11.2203253532,2.70643135803,3.21887582487
34,0.0025390625,2.93699264687e-05,6.00538378519e-06,4.04400809077e-33,7.8159775598e-05,2.87248335145e-08,5.49208526523e-05,-12.7791143574,2.82591101744,3.21887582487
35,0.0025390625,1.33895894714e-05,1.04267264875e-06,3.08155601536e-24,2.3795078404e-05,3.33260548741e-09,4.08117706238e-05,-14.3895208117,3.39852271146,3.21887582487
36,0.0025390625,1.90196645878e-05,7.7445962942e-07,3.02799255935e-25,2.33346233635e-05,3.5989976717e-09,4.8654536015e-05,-13.3892764483,3.30770742301,3.21887582487
37,0.0025390625,7.3715938759e-05,1.12232919123e-06,4.17439947035e-24,0.000269470428208,7.01200874819e-09,0.000740992017673,-13.8801353,3.40470974734,3.21887582487
38,0.0025390625,6.42520294533e-05,3.0242531086e-06,0.0,0.000279267017561,2.99154290784e-09,4.93309128495e-05,-14.4254169223,4.0502586771,3.21887582487
39,0.0025390625,6.1894349974e-05,1.09024556679e-05,6.50745168735e-23,0.00011049759483,3.03716035423e-07,0.000194908489912,-11.0240944182,1.89851023303,3.21887582487
40,0.0025390625,2.28996789248e-06,1.07862957657e-06,1.06197664152e-24,5.60846246492e-06,1.32937623523e-09,5.07012133817e-06,-15.3074150925,3.12435304955,3.21887582487
41,0.0025390625,9.93424266893e-06,1.07243505512e-07,4.2918726154e-24,2.24298711586e-05,1.01025380521e-08,6.57860018566e-05,-14.854579132,3.00962363165,3.21887582487
42,0.0025390625,3.4648034419e-05,1.60741986339e-09,1.04158800984e-34,8.08375257103e-05,3.02632923912e-10,0.000226383195138,-16.7774885328,4.63172789195,3.21887582487
43,0.0025390625,3.78842834896e-05,2.61630147123e-06,2.84255799252e-31,7.66378834891e-05,3.9838789746e-07,0.000229580322179,-12.0670009475,1.94015260795,3.21887582487
44,0.0025390625,2.27308476019e-05,1.47898956317e-05,1.86565209475e-31,2.82932494913e-05,1.05282295925e-07,9.38537574373e-05,-12.4624278611,2.57449185917,3.21887582487
45,0.0025390625,1.34978369586e-05,5.23408827417e-06,2.16864179769e-33,2.60197499809e-05,3.04988149159e-09,9.86837819274e-05,-14.4075005208,3.57375942505,3.21887582487
46,0.0025390625,8.67036934157e-05,3.06658154349e-05,7.07646988844e-24,0.000118682295309,4.22325259772e-08,0.000311351532302,-11.505591447,2.93016620553,3.21887582487
47,0.0025390625,5.9176116568e-05,2.00851786229e-06,8.6227776603e-25,0.000113457522359,4.96073950254e-08,0.000339607845205,-12.8010453339,3.17496249808,3.21887582487
48,0.01337890625,0.00248977725925,0.00246902051569,0.00246056759138,5.25012079742e-05,0.00246126477009,0.0026232962854,-5.99577806768,0.020637865888,75.2653606086
49,0.01318359375,0.00239751938402,0.00238160908315,0.00236411278373,3.96029003735e-05,0.00236563548453,0.00249774614736,-6.03345495184,0.0163235722914,75.3061826031
50,0.0025390625,7.45639238672e-06,4.99933049573e-07,3.31936097036e-24,1.18788116288e-05,3.14055081686e-08,3.1740518794e-05,-14.2275590088,2.65758279314,3.21887582487
51,0.0025390625,3.56392419356e-05,6.84962676024e-06,1.17988900675e-23,4.42367234896e-05,1.57314342706e-07,9.65548980902e-05,-11.8428986372,2.25617156479,3.21887582487
52,0.0025390625,9.50414966303e-05,9.91500366918e-07,0.0,0.000228170637135,2.06338664595e-08,0.000983229361478,-13.1056043467,3.51138968944,3.21887582487
53,0.0025390625,3.34668334057e-05,1.31041312311e-06,1.84555273084e-25,8.08590026043e-05,1.25073270359e-09,0.000234977515866,-15.2660325885,3.81031299983,3.21887582487
54,0.0025390625,5.36526842378e-05,1.14914184941e-05,9.48438836027e-22,0.000108981071512,9.65427722082e-07,0.000324657601388,-11.4544463341,1.68476967502,3.21887582487
55,0.0025390625,2.29601770683e-05,4.49818576053e-07,8.95552458005e-25,5.39175205621e-05,1.97233030313e-09,0.000155311234351,-15.1637970443,3.4591938605,3.21887582487
56,0.0025390625,9.53249749567e-05,2.71155379934e-05,2.59353815941e-23,0.000177704171666,3.68768538178e-08,0.000535178702071,-11.9228430013,3.10782365237,3.21887582487
57,0.0025390625,4.24287508586e-05,4.37296736212e-07,1.23119358983e-35,0.000148295443791,7.57914322796e-10,0.000210382579764,-15.482021173,3.83704946312,3.21887582487
58,0.0181640625,0.00341922718961,0.00327887530793,0.00325807849825,0.000336329041445,0.00325893193871,0.00429774062768,-5.68259788238,0.0893434961249,128.322709791
59,0.013671875,0.00257693932783,0.00256973346077,0.00256522619875,3.56431711856e-05,0.00256541936539,0.00261536099626,-5.96124125196,0.0130344159541,74.4544303924
60,0.0025390625,6.27184292568e-05,3.03447011363e-05,4.75125954126e-22,9.99397315532e-05,9.30386614934e-07,0.000420381746944,-11.0906275615,1.91316444472,3.21887582487
61,0.013916015625,0.00269245344232,0.00268847183105,0.0026791818984,1.03806644151e-05,0.00267965297502,0.00270514945584,-5.91730986255,0.00385139723957,74.4544303924
62,0.0025390625,7.7553810432e-05,2.77177842332e-07,5.47902458875e-32,0.00016627423193,1.78281218651e-08,0.000494192069439,-13.2246170752,3.24598372074,3.21887582487
63,0.0025390625,3.63021820778e-05,6.60891802261e-06,1.29536599953e-23,0.000120096680237,1.26077875186e-08,0.000126412443278,-13.0643326252,3.39082757046,3.21887582487
64,0.0025390625,6.1771470517e-06,8.57748546099e-07,2.20373990193e-23,1.72341849833e-05,5.43198492004e-08,7.610640881e-06,-13.6435389526,1.93479759856,3.21887582487
65,0.0025390625,1.77469803754e-05,2.87189998863e-06,1.01374617558e-24,3.3033166632e-05,1.13354247918e-08,0.00013144663287,-14.0891618065,3.46255802661,3.21887582487
66,0.0025390625,7.8571635221e-06,2.92570122134e-06,2.12749968336e-33,1.53881148281e-05,4.77382334992e-09,6.35089503918e-05,-14.2522864308,2.99294494318,3.21887582487
67,0.0025390625,9.41020167978e-06,3.15006616099e-07,3.43208695668e-24,2.90251370456e-05,7.07172936358e-09,1.88541669499e-05,-14.423166561,3.05840973792,3.21887582487
68,0.0025390625,2.45349243323e-05,7.98587100796e-07,5.06590009815e-25,4.44824379914e-05,1.52063424631e-09,0.000108554623702,-13.9895232281,3.24157974782,3.21887582487
69,0.0025390625,3.8506876783e-05,1.41902136058e-07,0.0,0.000114843737778,6.26635137179e-09,0.000163850138972,-15.1066228733,3.13288241834,3.21887582487
70,0.014208984375,0.00282282340292,0.00281074078631,0.00280372842408,4.37358014627e-05,0.00280461117159,0.00287917402989,-5.8701300248,0.0147467972887,74.4544303924
